date,items,sales,credit card,customer name,street address,state,country,ZIP code
5/3/2016,Product 1,349.61,jcb,Gilli Hinkensen,70 Green Ridge Junction,Connecticut,United States,6520
4/6/2015,Product 8,4326.21,jcb,Eran Rey,26182 Westerfield Parkway,Maryland,United States,20883
7/2/2016,Product 1,3732.01,jcb,Edik Sultan,0762 Loftsgordon Street,Illinois,United States,61709
1/5/2015,Service 3,2985.66,solo,Blinny Doughton,5 Loftsgordon Crossing,New York,United States,14652
10/17/2013,Product 6,1187.79,bankcard,Theo Gusticke,72322 Warrior Pass,Georgia,United States,30096
9/9/2016,Service 5,67.46,bankcard,Tuesday Bunten,241 Clemons Parkway,Texas,United States,76210
1/5/2016,Product 3,3363.26,mastercard,Cornelius Viveash,02 Holmberg Way,Washington,United States,99260
2/12/2015,Service 1,4439.67,mastercard,Caty Tubritt,61200 Trailsway Alley,California,United States,91520
5/3/2015,Product 6,712.67,bankcard,Ronnie Chown,07261 Waxwing Place,North Carolina,United States,27150
10/13/2016,Product 1,1212.44,jcb,Wrennie Gammett,51 Forest Dale Circle,California,United States,95298
9/25/2014,Product 6,38.26,mastercard,Kristan Widmoor,4176 Nevada Lane,Georgia,United States,30343
8/28/2014,Service 2,1996.87,jcb,Lina Glynne,95 Coolidge Place,Illinois,United States,60193
11/11/2015,Service 1,198.12,diners-club-us-ca,Burtie Pellett,40162 Nelson Place,Alabama,United States,35225
5/14/2015,Product 5,1860.38,switch,Wynnie Maryet,2 Memorial Lane,Ohio,United States,44485
2/8/2015,Service 4,242.35,maestro,Merilyn Selby,571 Petterle Lane,Illinois,United States,61110
10/19/2013,Service 6,1684.56,americanexpress,Arnie Wiffen,97 Spohn Alley,Minnesota,United States,55188
6/24/2016,Service 4,2269.46,switch,Lucais Fabb,368 Monterey Pass,Arizona,United States,85010
2/15/2016,Service 6,2262.88,americanexpress,Ernestus Littrick,65 Everett Pass,Nebraska,United States,68531
1/11/2014,Service 3,532.57,visa-electron,Fernando Pinchin,1444 Reindahl Park,New York,United States,14652
9/14/2013,Product 10,4454.86,jcb,Juliana Haughian,211 Rutledge Terrace,Florida,United States,34949
12/15/2015,Product 6,2290.87,jcb,Cristina Feldstein,000 Judy Way,Florida,United States,33805
5/18/2016,Product 6,50.95,jcb,Bay Suddell,80 Forest Dale Center,Texas,United States,78764
4/24/2017,Service 1,98.61,jcb,Geneva Bordis,64 Bay Way,Wisconsin,United States,53790
7/3/2014,Service 5,1968.01,jcb,Konrad oldey,3756 Melrose Way,District of Columbia,United States,20404
12/29/2014,Product 3,4644.4,diners-club-carte-blanche,Augusto Longo,57 Blue Bill Park Pass,California,United States,94177
2/13/2014,Product 5,3726.25,jcb,Jillian Domel,1 Everett Court,New York,United States,12242
1/16/2016,Service 3,4246.9,jcb,Menard Varvell,16124 Katie Crossing,California,United States,90030
11/12/2015,Service 2,2597.49,maestro,Guillemette Nottingam,0 Graedel Drive,Georgia,United States,31416
10/28/2014,Service 4,4565.27,bankcard,Inez Clabburn,588 Lyons Hill,Illinois,United States,60435
7/6/2013,Service 6,826.61,jcb,Appolonia Gamlin,1597 Hanover Parkway,District of Columbia,United States,20430
6/20/2015,Service 4,2135.43,switch,Ammamaria Nolleau,628 Graceland Parkway,Alabama,United States,35215
2/25/2016,Product 6,2748.72,mastercard,Brucie Osmond,91 Delaware Drive,Texas,United States,77554
2/2/2017,Product 3,1137.34,mastercard,Freedman Goggey,81628 Mcguire Point,California,United States,92867
2/20/2016,Service 2,1932.53,diners-club-enroute,Bradly Refford,2 Welch Circle,North Carolina,United States,27110
12/25/2014,Product 1,3934.54,switch,Brandais Slessar,757 Springs Way,Florida,United States,34745
6/19/2017,Product 1,3533.92,bankcard,Manny MacClinton,39 Dovetail Trail,California,United States,90081
12/18/2013,Product 10,1607.54,jcb,Alecia Matson,603 Lillian Crossing,California,United States,92110
7/21/2015,Product 6,2578.75,jcb,Woodie Manderson,491 Troy Court,Michigan,United States,48335
8/18/2014,Product 2,4820.31,mastercard,Hughie Eddies,83 Monument Park,Texas,United States,78265
5/11/2014,Product 10,1665.46,bankcard,Giffer Hamman,84 Eastlawn Parkway,Colorado,United States,81010
11/2/2016,Product 3,944.68,solo,Charlotta Cuerda,61 Ridgeview Center,Minnesota,United States,55123
2/14/2015,Service 5,3576.38,jcb,Grete Chismon,8 Grover Terrace,Arkansas,United States,71914
9/15/2014,Product 1,2973.89,mastercard,Bradan Benge,91550 Pearson Lane,Florida,United States,34474
10/11/2013,Product 5,626.67,jcb,Tanya Mosco,33017 Prairie Rose Place,Kentucky,United States,40546
4/25/2017,Service 4,4775.63,americanexpress,Codi Sentance,1883 Thompson Trail,Florida,United States,32813
7/9/2016,Service 1,4679.79,laser,Reider MacCook,55451 Corben Lane,Georgia,United States,30245
5/13/2015,Service 3,1475.58,americanexpress,Torey Shrubshall,1 Upham Place,California,United States,93762
10/5/2015,Service 4,2779.51,diners-club-enroute,Ardelle Gwyn,95565 Lerdahl Road,New York,United States,11388
5/9/2017,Service 4,321.18,jcb,Chlo McKendo,73624 Tennyson Parkway,California,United States,95123
10/4/2014,Product 5,4794.51,visa,Kelvin Swanborrow,6581 Lillian Street,North Carolina,United States,27717
2/2/2015,Product 1,3799.86,jcb,Bordy Allmond,6588 Sunbrook Point,Michigan,United States,48092
6/21/2015,Product 2,1884.44,maestro,Joel Hawton,46538 Bluejay Drive,North Carolina,United States,27150
12/24/2013,Service 1,156.48,jcb,Leslie Cocci,5 Almo Avenue,Tennessee,United States,37245
5/1/2014,Product 9,3364.52,jcb,Charita Quinnell,9 Havey Drive,Florida,United States,34981
7/19/2015,Product 4,1868.74,mastercard,Bron Curtayne,62509 Amoth Parkway,Texas,United States,79165
4/28/2015,Product 7,1588.09,china-unionpay,Esta Rabbet,3668 Sloan Center,Texas,United States,76110
1/14/2017,Product 1,4625.73,instapayment,Marlena Purveys,514 Eagle Crest Hill,Pennsylvania,United States,15250
4/13/2017,Service 4,481.44,visa-electron,Giuditta Tzarkov,90648 Logan Road,Alabama,United States,36628
4/9/2015,Service 2,4125.62,china-unionpay,Billy Boldock,86396 Ridgeview Park,Washington,United States,98506
6/25/2016,Product 2,1792.58,bankcard,Tammy Blazey,87 Main Road,Virginia,United States,22244
4/11/2015,Service 1,1911.62,jcb,Bert Hierro,86023 Westend Terrace,Alabama,United States,36177
3/13/2016,Service 5,1908.59,jcb,Darcy Antrobus,500 Bobwhite Circle,Washington,United States,98140
9/15/2013,Product 2,2771.03,jcb,Calla D'Onisi,288 Gale Center,Kentucky,United States,40591
5/2/2016,Product 3,2381.96,bankcard,Geoff Crumpton,80 Heath Trail,California,United States,95354
8/3/2016,Service 4,122.23,jcb,Alexine Trewett,81 Jay Junction,Florida,United States,34620
8/1/2016,Service 6,1582.26,instapayment,Jermain Linning,04793 7th Street,Louisiana,United States,71213
3/26/2016,Service 2,322.42,instapayment,Trueman Sansbury,367 Prairieview Hill,California,United States,91505
8/5/2015,Product 4,2939.41,jcb,Cristiano Clac,4 Fremont Parkway,Nevada,United States,89150
7/13/2013,Product 6,2503.9,switch,Berry Alywin,025 Briar Crest Circle,Oregon,United States,97405
1/21/2014,Service 1,3098.68,solo,Eduino Stelfax,43 Thompson Court,Missouri,United States,64130
10/9/2013,Product 7,4436.53,mastercard,Scotti Hanssmann,253 Johnson Lane,Texas,United States,79989
12/8/2014,Service 6,3679.34,visa,Lissa McParland,96 Hagan Center,Ohio,United States,43231
5/25/2016,Product 4,336.14,diners-club-carte-blanche,Charlean Rachuig,40484 Toban Way,California,United States,95852
10/23/2014,Product 2,887.85,visa-electron,Karrie Olivelli,5 Mcguire Place,Wisconsin,United States,53210
12/28/2013,Service 3,3489.15,jcb,Alyson Binton,929 American Ash Center,North Dakota,United States,58505
6/13/2014,Product 6,2391.81,maestro,Lina Sherrin,590 Oneill Place,Indiana,United States,46867
12/8/2015,Product 6,4114.59,jcb,Gaye Nussii,7 Almo Center,New York,United States,11215
8/16/2014,Product 1,3525.88,jcb,Charlot Tourle,03 Victoria Parkway,Texas,United States,79977
9/15/2015,Product 3,2914.92,mastercard,Daniel Olkowicz,612 Thackeray Drive,Georgia,United States,31205
9/16/2016,Service 1,2228.27,visa-electron,Ilene Gilgryst,07453 Nelson Park,New York,United States,14269
9/20/2015,Service 6,3380.72,visa,Clarke Perfect,90 Delladonna Plaza,Virginia,United States,23237
5/17/2017,Product 3,574.55,mastercard,Max Beecham,2 Straubel Drive,Georgia,United States,31217
11/26/2015,Service 3,4993.29,jcb,Alon Hylton,964 Stuart Street,Indiana,United States,46254
12/30/2015,Service 4,4067.74,jcb,Morna Gerrad,457 Delaware Hill,New York,United States,11225
12/8/2015,Service 5,396.45,jcb,Dan Garrettson,3341 Nelson Point,North Carolina,United States,27105
5/13/2016,Product 5,941.48,diners-club-enroute,Patin Pigford,193 Declaration Junction,Hawaii,United States,96805
4/19/2017,Product 1,3567.05,diners-club-international,Terrill Daughtery,819 Express Crossing,South Carolina,United States,29805
4/2/2015,Service 3,780.97,jcb,Imojean Haughian,6 Butterfield Center,Maine,United States,4109
3/15/2016,Service 1,1520.98,jcb,Bar Marchington,00047 Petterle Court,California,United States,92127
7/17/2016,Product 5,4301.71,maestro,Amanda Creed,9 Pierstorff Plaza,Florida,United States,33134
1/18/2017,Product 9,3598.47,jcb,Deb Iorio,7 Tony Hill,Texas,United States,79165
8/2/2013,Product 10,3075.72,jcb,Corbet Harkess,375 Stuart Hill,Utah,United States,84189
2/17/2017,Product 5,1302.34,mastercard,Rodolph Pimme,92 Florence Drive,Pennsylvania,United States,15134
8/23/2013,Service 2,2074.92,laser,Elwin Saffle,25 Larry Alley,Texas,United States,76147
2/11/2016,Product 2,495.18,laser,Sophronia Threader,16 Scoville Park,Illinois,United States,60652
2/17/2015,Product 1,354.86,mastercard,Cicely Hastilow,991 Bowman Hill,District of Columbia,United States,20231
9/27/2013,Product 4,3671.36,jcb,Adriana Tschierasche,1 Ridge Oak Trail,Colorado,United States,80015
6/28/2017,Product 2,1693.11,jcb,Stormy Chesney,341 Elmside Circle,Iowa,United States,50320
9/12/2014,Service 2,2107.16,diners-club-enroute,Randolf Crone,46517 Stoughton Drive,California,United States,90847
12/7/2014,Service 2,4504.04,jcb,Malachi Withrop,32494 Mallory Terrace,Louisiana,United States,71105
1/22/2017,Service 3,3302.96,jcb,Vale Tristram,403 Erie Pass,Texas,United States,79182
10/8/2014,Product 1,2988.49,visa-electron,Laryssa MacRannell,5 Lawn Park,Oregon,United States,97211
9/21/2013,Product 5,2373.87,instapayment,Berti Gaye,91352 Londonderry Point,Kentucky,United States,40205
6/25/2017,Service 3,4712.8,maestro,Ruthe Matskiv,57119 Vermont Point,Wisconsin,United States,53285
11/1/2016,Product 9,495.25,laser,Templeton Slides,20291 Elka Parkway,Michigan,United States,48206
5/19/2014,Product 5,2614.01,jcb,Randene Ghelerdini,2629 Bunker Hill Avenue,District of Columbia,United States,20409
7/26/2015,Product 4,3118.01,jcb,Griffy Greatrex,8 Sheridan Terrace,District of Columbia,United States,20210
5/15/2016,Service 4,3381.02,visa,Kacie Loadsman,75192 Doe Crossing Pass,Nevada,United States,89150
6/9/2016,Product 2,3471.01,china-unionpay,Hillery Swait,319 Golf Course Center,New York,United States,14210
4/6/2016,Service 6,4321.3,americanexpress,Alaster Reide,36 Clove Point,Texas,United States,78737
9/18/2015,Service 5,4842.94,jcb,Jae Plaister,12406 Larry Park,Arizona,United States,85732
6/2/2014,Service 5,2927.49,diners-club-us-ca,Brit Summerley,1044 Merchant Alley,New York,United States,10633
3/1/2016,Service 5,187.36,jcb,Reggy Larman,20700 Manitowish Alley,Louisiana,United States,70124
1/11/2017,Product 9,464.32,jcb,Griffie Bosquet,044 Donald Terrace,Washington,United States,98506
10/18/2016,Service 4,3612.18,jcb,Ambrosio Christopher,46430 Thackeray Drive,Connecticut,United States,6105
9/6/2014,Product 8,3935.24,bankcard,Emelina Jackson,3 Sunbrook Pass,Florida,United States,32123
7/22/2015,Product 7,1924.8,diners-club-enroute,Glen Summerbell,90703 Scott Center,Massachusetts,United States,2283
12/24/2013,Product 4,3591.96,bankcard,Dudley Dilks,3819 Shoshone Drive,California,United States,94975
4/21/2016,Product 9,1712.42,instapayment,Mil Ortas,41 Knutson Trail,Georgia,United States,31914
12/6/2013,Product 7,2405.08,jcb,Isobel McNeill,8 Badeau Place,Georgia,United States,30306
3/5/2015,Service 1,4217.88,jcb,Yuma Gabb,6340 Tennyson Road,Illinois,United States,60078
5/1/2015,Service 2,956.29,solo,Patrick Gaish,8 Coleman Point,New Mexico,United States,87110
7/18/2014,Service 4,1533.82,jcb,Susannah Diggles,0891 Troy Hill,Texas,United States,75379
4/15/2017,Product 4,877.22,bankcard,Gavra Wyndham,1 Blaine Place,North Carolina,United States,27409
10/30/2016,Service 6,1414.28,americanexpress,Scott Harty,5947 Laurel Crossing,New York,United States,14683
12/27/2013,Service 5,180.02,jcb,Christy Di Bartolomeo,5 Morrow Avenue,California,United States,95823
11/5/2015,Product 9,1164.46,diners-club-carte-blanche,Alfonso Aloigi,78 Meadow Vale Road,Kansas,United States,66225
3/30/2014,Service 1,1164.58,jcb,Brucie Tydeman,9206 School Place,Texas,United States,77240
5/22/2017,Service 5,3119.88,jcb,Korrie Lempertz,186 Merry Lane,Hawaii,United States,96815
6/3/2017,Product 3,1560.08,jcb,Carver Colles,53547 Hauk Terrace,Indiana,United States,47747
8/15/2015,Product 10,1386.54,diners-club-carte-blanche,Valentina Garrow,4 Anthes Plaza,Virginia,United States,22119
8/7/2015,Service 3,1112.75,jcb,Samantha MacPherson,58840 Bunting Parkway,Illinois,United States,61105
3/22/2016,Service 1,1330.02,switch,Baryram Gile,9784 Anthes Place,Pennsylvania,United States,15210
10/9/2015,Product 6,1190.42,laser,Sutherland Edgson,429 Ridge Oak Hill,Florida,United States,33731
10/2/2013,Service 3,2837.38,switch,Inness Bernardotti,89 Maywood Way,Colorado,United States,80270
11/26/2015,Product 4,2976.84,bankcard,Olga Woodger,993 Pennsylvania Park,Arizona,United States,85219
4/11/2014,Product 8,1879.39,china-unionpay,Glenine Gerritzen,5 Coolidge Street,Pennsylvania,United States,15220
11/13/2013,Service 5,1697.16,diners-club-enroute,Lorrayne Garth,6 Hauk Center,New York,United States,10120
6/12/2015,Product 9,4640.15,mastercard,Isidora Ianetti,1 Kedzie Avenue,Connecticut,United States,6152
2/28/2017,Product 9,720.35,laser,Evelyn Mantrup,326 Moulton Trail,New York,United States,10115
6/6/2014,Service 2,3580.48,jcb,Whitney Mockes,29719 Ohio Center,Mississippi,United States,39216
9/3/2015,Product 8,3162.39,diners-club-carte-blanche,Aldrich Kilduff,8 Dawn Park,Illinois,United States,60609
10/13/2016,Service 5,3367.21,jcb,Sue Robins,7351 Schlimgen Point,Florida,United States,33777
8/26/2013,Product 1,2685.18,jcb,Perl O'Bruen,884 Shelley Road,Nevada,United States,89140
3/24/2016,Product 7,4614.68,visa-electron,Grantham Garlick,6 Mallory Avenue,Florida,United States,33811
3/9/2016,Product 1,2780.66,mastercard,Silvio Cardenosa,0 Straubel Point,New Jersey,United States,7104
1/8/2017,Product 6,4600.7,jcb,Rosene Lytle,9340 Boyd Road,Iowa,United States,52410
11/22/2014,Service 6,908.8,visa-electron,Kalli Hartin,9376 Birchwood Center,District of Columbia,United States,20392
9/19/2015,Product 8,4094.1,jcb,Cynthie Pearson,26213 Crest Line Crossing,California,United States,90030
10/21/2013,Product 5,1512.33,jcb,Matthieu Husband,9545 Anniversary Way,California,United States,95118
4/9/2016,Service 2,1796.44,jcb,Alistair Mackieson,90303 Boyd Plaza,Alabama,United States,36670
4/26/2015,Service 2,3787.83,jcb,Nicolis Tunnicliffe,077 Stone Corner Court,Missouri,United States,63167
7/24/2013,Product 3,4378.34,bankcard,Zorine Laxton,8 Welch Center,Arizona,United States,85743
8/15/2016,Service 6,792.2,jcb,Yetta Ephson,07042 Fisk Road,Utah,United States,84409
10/15/2015,Product 1,275.91,china-unionpay,Lindsey Hutchison,7262 Lukken Point,Texas,United States,75605
9/4/2014,Product 7,1969.46,jcb,Leonie Jent,09 Parkside Street,Florida,United States,33499
7/26/2014,Service 1,1965.46,mastercard,Enrique Kirrage,542 Namekagon Trail,Arizona,United States,85040
7/10/2016,Product 1,4960.4,china-unionpay,Guillaume Claque,99662 Longview Plaza,District of Columbia,United States,20022
9/17/2016,Service 1,2393.28,jcb,Grazia Skone,258 Sachtjen Street,Oklahoma,United States,73142
1/7/2017,Service 5,2004.24,diners-club-carte-blanche,Jeana Sanford,752 Warbler Pass,California,United States,95160
8/17/2015,Service 3,1488.75,diners-club-enroute,Cherrita Dimanche,2 Dawn Lane,District of Columbia,United States,20337
1/30/2016,Product 4,1259.34,mastercard,June Wisby,96 Fisk Place,Texas,United States,79171
9/27/2014,Product 3,3260.95,china-unionpay,Jazmin Lemmers,3746 Oak Court,Michigan,United States,48670
12/4/2016,Service 5,3277.62,americanexpress,Cesya Somerled,081 Bowman Point,Georgia,United States,30605
7/18/2016,Service 6,2924.27,mastercard,Hyacinthe Cartmer,6739 Green Parkway,Minnesota,United States,55573
9/26/2016,Service 1,3765.42,solo,Ive McPheat,93 Village Way,Alaska,United States,99812
5/4/2017,Product 2,1502.09,jcb,Allissa Groveham,15106 West Crossing,California,United States,92705
8/20/2015,Product 3,4817.55,maestro,Maggy Billham,709 Susan Lane,Florida,United States,33543
8/23/2016,Product 3,1155.55,americanexpress,Allie Pealing,860 Meadow Ridge Center,Texas,United States,75185
8/12/2014,Service 3,217.46,jcb,Etheline Friend,81120 Anniversary Lane,Oregon,United States,97206
9/7/2013,Product 7,740.74,jcb,Sax Gorrie,131 Mayfield Circle,Louisiana,United States,70149
1/17/2016,Product 4,1271.96,diners-club-carte-blanche,Jannel O'Deegan,9630 Spohn Crossing,New Jersey,United States,7305
7/26/2016,Service 2,948.06,diners-club-carte-blanche,Welsh Windaybank,0 Kinsman Crossing,Utah,United States,84140
5/4/2014,Service 2,1621.91,jcb,Jennee Seacombe,9 Stephen Way,District of Columbia,United States,20530
12/22/2014,Product 2,69.77,jcb,Raquel Robertsson,20785 Pleasure Hill,Pennsylvania,United States,19172
7/11/2013,Service 5,2550.81,maestro,Niki Defew,335 Lunder Junction,New York,United States,10160
1/17/2015,Product 9,2536.57,laser,Sonny Eckley,8 Paget Hill,California,United States,90087
9/23/2014,Product 3,3221.85,switch,Dorena Trewin,38438 Esch Pass,Ohio,United States,43220
7/16/2015,Product 2,1669.44,mastercard,Beck Logue,5228 Caliangt Park,South Carolina,United States,29416
10/26/2014,Product 7,2341.92,maestro,Baillie Greatorex,9 Hanover Court,Virginia,United States,22093
6/10/2014,Product 1,4087.39,jcb,Latashia Jovicic,4 Evergreen Lane,Texas,United States,78682
5/20/2017,Service 4,3075,china-unionpay,Poppy Eynald,63704 Prairieview Park,Florida,United States,32964
8/18/2014,Service 3,376.62,jcb,Gustavo Shackelton,8 Everett Court,Florida,United States,34629
11/7/2013,Service 1,221.44,diners-club-carte-blanche,Jessamine Gazey,2797 Farwell Alley,Nevada,United States,89160
4/29/2015,Service 2,3101.35,instapayment,Alyssa Attfield,715 Pearson Junction,New Jersey,United States,8104
6/15/2017,Product 1,4104.8,jcb,Brandyn Tangye,02594 Kingsford Court,New York,United States,10184
8/10/2016,Product 4,2130.37,jcb,Angelle Creber,4 Scofield Court,California,United States,92424
4/14/2015,Service 6,1278.76,laser,Tailor MacGillacolm,340 Judy Trail,Maryland,United States,21684
1/24/2014,Product 7,4056.27,diners-club-carte-blanche,Lil Oglethorpe,0853 Forest Run Road,Florida,United States,33158
2/7/2015,Product 10,2371.36,diners-club-international,Abel Culmer,1533 Dawn Plaza,Georgia,United States,30195
8/29/2015,Service 3,4648.61,bankcard,Stillmann Minker,10 Stang Alley,Ohio,United States,44305
8/29/2015,Service 3,3630.61,visa,Persis Petriello,924 Dixon Avenue,Connecticut,United States,6905
3/21/2014,Service 4,2793.12,mastercard,Maryann Seadon,0530 New Castle Junction,California,United States,90605
6/16/2014,Product 7,1742.94,china-unionpay,Dominik Vasiliu,760 Morning Point,Ohio,United States,44505
7/9/2015,Product 7,374.44,diners-club-us-ca,Pauline Foulser,36 Golf View Road,Washington,United States,98447
7/14/2015,Product 8,2727.03,jcb,Kimmie Eddowis,3 Pennsylvania Crossing,Illinois,United States,60604
5/24/2015,Service 5,3060.86,jcb,Wilone Crowson,1703 Sutherland Circle,Washington,United States,98417
5/27/2014,Product 3,2062.39,maestro,Shane Leroy,653 Sundown Road,Louisiana,United States,70179
4/5/2016,Product 1,4289.66,mastercard,Charlean Giacovetti,6 Becker Place,Florida,United States,34282
11/24/2013,Product 3,4522.19,switch,Alethea Trench,28846 Starling Avenue,Florida,United States,34949
12/4/2016,Product 3,3370.63,jcb,Phoebe Gauson,6 Victoria Junction,Illinois,United States,60697
8/22/2015,Product 4,3399.2,diners-club-enroute,Quincey Isenor,8488 Fair Oaks Street,Kentucky,United States,40596
7/25/2013,Product 2,1323.75,jcb,Pancho Sheryn,84607 Garrison Center,Oklahoma,United States,73173
2/19/2014,Product 2,402.41,jcb,Deina Arzu,4 Vahlen Street,Pennsylvania,United States,19172
4/18/2017,Product 5,3718.71,jcb,Junia Millsom,048 Cardinal Circle,New York,United States,14905
10/7/2015,Product 5,1037.16,jcb,Layton Brafferton,21 Springs Alley,Florida,United States,33141
4/1/2015,Product 8,3938.7,solo,Cybill Caine,1417 Westridge Pass,Georgia,United States,31165
12/5/2015,Service 4,232.31,jcb,Tiebout Bissell,213 Golf View Way,Colorado,United States,80255
2/9/2014,Product 1,4443.41,mastercard,Marcellus Tulloch,000 Bluejay Place,Louisiana,United States,70124
11/6/2013,Product 10,3672.42,instapayment,Eberto Drowsfield,62875 Cottonwood Alley,Ohio,United States,43635
5/17/2017,Service 2,1241.12,bankcard,Melissa Mumford,859 Dawn Pass,Wisconsin,United States,53215
7/15/2014,Service 6,3396.77,china-unionpay,Marlon Pepin,780 Sachtjen Junction,Illinois,United States,60624
3/14/2017,Service 4,4717.44,jcb,Dominick Le Estut,0 Longview Crossing,Florida,United States,33185
4/4/2017,Product 6,246.44,mastercard,Alden Piscopiello,2178 Northwestern Drive,California,United States,95173
10/22/2013,Product 5,2586.51,mastercard,Pru Cooke,66984 Esch Alley,Missouri,United States,64125
1/9/2015,Product 6,4744.32,maestro,Richmound Kemme,17 Claremont Lane,New Jersey,United States,7544
1/6/2016,Product 6,534.59,diners-club-enroute,Norma Mathivet,8835 Montana Plaza,Texas,United States,76598
7/15/2014,Product 10,4639.65,jcb,Vince Robjohns,0 Fairfield Parkway,New York,United States,10110
7/22/2015,Service 4,1716.29,jcb,Lindy Hoyle,62 Sage Pass,Louisiana,United States,71307
2/1/2016,Product 9,3054.89,maestro,Dag Folcarelli,5 Sloan Court,North Dakota,United States,58106
12/30/2014,Product 1,1614.98,switch,Torrie Hilbourne,8 Haas Plaza,Florida,United States,34135
4/26/2017,Service 4,1130.57,diners-club-enroute,Bea Boxhall,312 Eagle Crest Terrace,Virginia,United States,23471
2/18/2017,Product 7,3166.24,jcb,Gilly Kalaher,4868 Evergreen Park,Georgia,United States,30092
8/28/2014,Service 3,1660.76,china-unionpay,Jacintha Skala,7120 Stoughton Way,California,United States,94975
1/16/2014,Product 5,1272.03,jcb,Ardith Antoniat,2927 Spenser Place,Georgia,United States,31217
11/22/2013,Product 4,142.33,switch,Walsh Scanlon,1 Holy Cross Road,North Carolina,United States,27404
2/20/2014,Service 4,1359.39,jcb,Georgie Hendriksen,258 Trailsway Crossing,Colorado,United States,80305
7/15/2014,Product 9,2501.65,jcb,Tris Donaghie,51049 Johnson Drive,California,United States,92110
10/21/2013,Service 1,4994.36,jcb,Alessandro Rollins,9 Barby Trail,Pennsylvania,United States,18105
10/7/2013,Service 6,3115.19,mastercard,Dalis Cajkler,85 Claremont Hill,Illinois,United States,60697
5/1/2014,Product 8,1934.39,mastercard,Penelopa Janeczek,67 Holy Cross Drive,Texas,United States,76011
5/4/2017,Service 4,135.65,jcb,Gwenni Boocock,589 Valley Edge Pass,Texas,United States,78215
3/5/2016,Product 9,4516.67,maestro,Courtnay Guido,6 Portage Circle,Virginia,United States,23228
5/5/2016,Product 7,4690.41,bankcard,Roxanna Bee,42389 Spohn Plaza,North Dakota,United States,58122
3/1/2015,Service 5,2266.87,jcb,Mort Hedden,282 Vidon Parkway,Florida,United States,33175
9/28/2014,Service 5,4886.15,china-unionpay,Nicholle Roy,24 Mcbride Hill,Ohio,United States,44191
10/26/2013,Service 4,1641.13,visa-electron,Allistir Vankov,4 Algoma Street,Illinois,United States,61651
6/14/2016,Service 1,3811.93,jcb,Anna-diana Guyton,7 Starling Park,New Jersey,United States,7305
11/24/2016,Service 3,4797.88,switch,Chase Starking,99 Hanson Junction,Illinois,United States,61629
11/5/2013,Product 6,2022.42,jcb,Bunny Hintze,0 Meadow Ridge Place,Texas,United States,79116
5/3/2014,Service 3,780.02,diners-club-enroute,Shepherd Ashbey,1464 Boyd Way,Georgia,United States,30343
2/24/2014,Product 6,3024.75,jcb,Klemens Greep,5 Sachtjen Parkway,Washington,United States,98506
5/23/2014,Product 3,4643.08,jcb,Cati Habgood,28 Hazelcrest Pass,Florida,United States,32209
7/18/2016,Product 7,1754.07,diners-club-us-ca,Myrwyn Fuentez,85185 Magdeline Pass,Virginia,United States,23471
5/6/2014,Product 2,2351.61,jcb,Herold Cloonan,65718 Main Park,Illinois,United States,62718
4/27/2015,Product 4,3680.57,china-unionpay,Selma Grierson,214 Almo Crossing,Michigan,United States,48956
5/18/2014,Product 3,2323.43,jcb,Sarine Herity,77 Dakota Plaza,California,United States,93907
8/18/2015,Product 1,2198.77,visa-electron,Feodor Reaney,9 Mariners Cove Park,New York,United States,10606
6/28/2015,Product 5,4133.27,jcb,Ric Jahnel,89 Hovde Avenue,Alabama,United States,36114
5/27/2014,Service 1,3528.99,jcb,Shaughn Ledster,51 Scoville Terrace,Arizona,United States,85725
12/18/2016,Product 2,1468.04,mastercard,Rory Camis,61116 Melody Center,California,United States,94616
3/1/2016,Product 9,3693.52,mastercard,Tucker Alpine,28322 Swallow Trail,Florida,United States,34479
12/14/2016,Service 3,4334.82,jcb,Edgard Danihelka,84 Hooker Court,Florida,United States,32941
12/19/2014,Product 8,834.04,jcb,Bryant Ahern,49 Merrick Plaza,California,United States,94147
7/17/2015,Product 4,4975.54,solo,Teodoor Panichelli,870 Fieldstone Hill,Virginia,United States,24004
2/29/2016,Product 1,358.9,visa-electron,Vita MacAskill,5 Carpenter Center,Georgia,United States,30022
11/22/2015,Service 6,1489.98,diners-club-enroute,Ludvig Cannan,39219 Buell Place,Texas,United States,78245
11/19/2015,Product 9,4518.35,jcb,Morton Toplin,3761 Hagan Avenue,Illinois,United States,60193
12/24/2014,Product 6,2667.31,switch,Charmine Garbutt,287 Dexter Drive,Ohio,United States,43240
3/26/2014,Product 7,3047.26,laser,Nettle Kaesmans,80227 Melvin Parkway,Florida,United States,32610
8/20/2016,Service 5,2005.05,jcb,Vite Ebben,79507 Scofield Terrace,Nevada,United States,89120
10/22/2016,Product 6,2108.92,maestro,Rhys Enston,080 Hermina Parkway,Minnesota,United States,55579
5/14/2017,Service 5,4027.11,visa-electron,Margarita Simoneschi,63 Fisk Alley,Texas,United States,75074
11/20/2015,Product 3,4908.64,americanexpress,Ricard Liversedge,23218 Melvin Point,Florida,United States,32309
9/29/2016,Service 5,181.71,switch,Brandon Siddeley,97 Manitowish Parkway,Texas,United States,79916
2/3/2016,Product 3,887.3,visa-electron,Field Flecknell,6172 Lotheville Plaza,Texas,United States,78715
4/11/2017,Product 10,4971.93,jcb,Isabel Brickdale,70 American Ash Center,North Carolina,United States,27150
